"IdTexture","Texture","TextureShort"
"1","Tone","t"
"2","Lehmtone","lt"
"3","reiner Ton","Tt"
"4","schwach schluffiger Ton","Tu2"
"5","lehmiger Ton","Tl"
"6","schwach sandiger Ton","Ts2"
"7","Schlufftone","ut"
"8","mittel schluffiger Ton","Tu3"
"9","stark schluffiger Ton","Tu4"
"10","mittel toniger Lehm","Lt3"
"11","Lehm","l"
"12","Tonlehme","tl"
"13","sandig-toniger Lehm","Lts"
"14","mittel sandiger Ton","Ts3"
"15","stark sandiger Ton","Ts4"
"16","Normallehme","ll"
"17","schwach toniger Lehm","Lt2"
"18","schwach sandiger Lehm","Ls2"
"19","mittel sandiger Lehm","Ls3"
"20","stark sandiger Lehm","Ls4"
"21","Sandlehme","sl"
"22","schluffig-lehmiger Sand","Slu"
"23","stark lehmiger Sand","Sl4"
"24","mittel toniger Sand","St3"
"25","Schluffe","u"
"26","Tonschluffe","tu"
"27","stark toniger Schluff","Ut4"
"28","schluffiger Lehm","Lu"
"29","Lehmschluffe","lu"
"30","schwach toniger Schluff","Ut2"
"31","mittel toniger Schluff","Ut3"
"32","sandig-lehmiger Schluff","Uls"
"33","Sandschluffe","su"
"34","sandiger Schluff","Us"
"35","reiner Schluff","Uu"
"36","Sande","s"
"37","reiner Sand","Ss"
"38","Feinsand","fS"
"39","mittelsandiger Feinsand","fSms"
"40","grobsandiger Feinsand","fSgs"
"41","Mittelsand","mS"
"42","feinsandiger Mittelsand","mSfs"
"43","grobsandiger Mittelsand","mSgs"
"44","Grobsand","gS"
"45","feinsandiger Grobsand","gSfs"
"46","mittelsandiger Grobsand","gSms"
"47","Schluffsande","us"
"48","mittel schluffiger Sand","Su3"
"49","stark schluffiger Sand","Su4"
"50","Lehmsande","ls"
"51","schwach toniger Sand","St2"
"52","schwach schluffiger Sand","Su2"
"53","schwach lehmiger Sand","Sl2"
"54","mittel lehmiger Sand","Sl3"
